"","Survived","Pclass","Sex","Age","SibSp","Parch","Embarked","HasCabin"
"341","1","2","male",2,1,1,"S","Si"
"342","1","1","female",24,3,2,"S","Si"
"343","0","2","male",28,0,0,"S","No"
"344","0","2","male",25,0,0,"S","No"
"345","0","2","male",36,0,0,"S","No"
"346","1","2","female",24,0,0,"S","Si"
"347","1","2","female",40,0,0,"S","No"
"348","1","3","female",26,1,0,"S","No"
"349","1","3","male",3,1,1,"S","No"
"350","0","3","male",42,0,0,"S","No"
"351","0","3","male",23,0,0,"S","No"
"352","0","1","male",54,0,0,"S","Si"
"353","0","3","male",15,1,1,"C","No"
"354","0","3","male",25,1,0,"S","No"
"355","0","3","male",30,0,0,"C","No"
"356","0","3","male",28,0,0,"S","No"
"357","1","1","female",22,0,1,"S","Si"
"358","0","2","female",38,0,0,"S","No"
"359","1","3","female",16,0,0,"Q","No"
"360","1","3","female",16,0,0,"Q","No"
"361","0","3","male",40,1,4,"S","No"
"362","0","2","male",29,1,0,"C","No"
"363","0","3","female",45,0,1,"C","No"
"364","0","3","male",35,0,0,"S","No"
"365","0","3","male",40.5,1,0,"Q","No"
"366","0","3","male",30,0,0,"S","No"
"367","1","1","female",60,1,0,"C","Si"
"368","1","3","female",14,0,0,"C","No"
"369","1","3","female",16,0,0,"Q","No"
"370","1","1","female",24,0,0,"C","Si"
"371","1","1","male",25,1,0,"C","Si"
"372","0","3","male",18,1,0,"S","No"
"373","0","3","male",19,0,0,"S","No"
"374","0","1","male",22,0,0,"C","No"
"375","0","3","female",3,3,1,"S","No"
"376","1","1","female",35,1,0,"C","No"
"377","1","3","female",22,0,0,"S","No"
"378","0","1","male",27,0,2,"C","Si"
"379","0","3","male",20,0,0,"C","No"
"380","0","3","male",19,0,0,"S","No"
"381","1","1","female",42,0,0,"C","No"
"382","1","3","female",1,0,2,"C","No"
"383","0","3","male",32,0,0,"S","No"
"384","1","1","female",35,1,0,"S","No"
"385","0","3","male",21,0,0,"S","No"
"386","0","2","male",18,0,0,"S","No"
"387","0","3","male",1,5,2,"S","No"
"388","1","2","female",36,0,0,"S","No"
"389","0","3","male",40.5,0,0,"Q","No"
"390","1","2","female",17,0,0,"C","No"
"391","1","1","male",36,1,2,"S","Si"
"392","1","3","male",21,0,0,"S","No"
"393","0","3","male",28,2,0,"S","No"
"394","1","1","female",23,1,0,"C","Si"
"395","1","3","female",24,0,2,"S","Si"
"396","0","3","male",22,0,0,"S","No"
"397","0","3","female",31,0,0,"S","No"
"398","0","2","male",46,0,0,"S","No"
"399","0","2","male",23,0,0,"S","No"
"400","1","2","female",28,0,0,"S","No"
"401","1","3","male",39,0,0,"S","No"
"402","0","3","male",26,0,0,"S","No"
"403","0","3","female",21,1,0,"S","No"
"404","0","3","male",28,1,0,"S","No"
"405","0","3","female",20,0,0,"S","No"
"406","0","2","male",34,1,0,"S","No"
"407","0","3","male",51,0,0,"S","No"
"408","1","2","male",3,1,1,"S","No"
"409","0","3","male",21,0,0,"S","No"
"410","0","3","female",8,3,1,"S","No"
"411","0","3","male",21,0,0,"S","No"
"412","0","3","male",40.5,0,0,"Q","No"
"413","1","1","female",33,1,0,"Q","Si"
"414","0","2","male",32,0,0,"S","No"
"415","1","3","male",44,0,0,"S","No"
"416","0","3","female",25,0,0,"S","No"
"417","1","2","female",34,1,1,"S","No"
"418","1","2","female",18,0,2,"S","No"
"419","0","2","male",30,0,0,"S","No"
"420","0","3","female",10,0,2,"S","No"
"421","0","3","male",30,0,0,"C","No"
"422","0","3","male",21,0,0,"Q","No"
"423","0","3","male",29,0,0,"S","No"
"424","0","3","female",28,1,1,"S","No"
"425","0","3","male",18,1,1,"S","No"
"426","0","3","male",21,0,0,"S","No"
"427","1","2","female",28,1,0,"S","No"
"428","1","2","female",19,0,0,"S","No"
"429","0","3","male",40.5,0,0,"Q","No"
"430","1","3","male",32,0,0,"S","Si"
"431","1","1","male",28,0,0,"S","Si"
"432","1","3","female",26,1,0,"S","No"
"433","1","2","female",42,1,0,"S","No"
"434","0","3","male",17,0,0,"S","No"
"435","0","1","male",50,1,0,"S","Si"
"436","1","1","female",14,1,2,"S","Si"
"437","0","3","female",21,2,2,"S","No"
"438","1","2","female",24,2,3,"S","No"
"439","0","1","male",64,1,4,"S","Si"
"440","0","2","male",31,0,0,"S","No"
"441","1","2","female",45,1,1,"S","No"
"442","0","3","male",20,0,0,"S","No"
"443","0","3","male",25,1,0,"S","No"
"444","1","2","female",28,0,0,"S","No"
"445","1","3","male",27,0,0,"S","No"
"446","1","1","male",4,0,2,"S","Si"
"447","1","2","female",13,0,1,"S","No"
"448","1","1","male",34,0,0,"S","No"
"449","1","3","female",5,2,1,"C","No"
"450","1","1","male",52,0,0,"S","Si"
"451","0","2","male",36,1,2,"S","No"
"452","0","3","male",25,1,0,"S","No"
"453","0","1","male",30,0,0,"C","Si"
"454","1","1","male",49,1,0,"C","Si"
"455","0","3","male",21,0,0,"S","No"
"456","1","3","male",29,0,0,"C","No"
"457","0","1","male",65,0,0,"S","Si"
"458","1","1","female",35,1,0,"S","Si"
"459","1","2","female",50,0,0,"S","No"
"460","0","3","male",40.5,0,0,"Q","No"
"461","1","1","male",48,0,0,"S","Si"
"462","0","3","male",34,0,0,"S","No"
"463","0","1","male",47,0,0,"S","Si"
"464","0","2","male",48,0,0,"S","No"
"465","0","3","male",21,0,0,"S","No"
"466","0","3","male",38,0,0,"S","No"
"467","0","2","male",32,0,0,"S","No"
"468","0","1","male",56,0,0,"S","No"
"469","0","3","male",40.5,0,0,"Q","No"
"470","1","3","female",0.75,2,1,"C","No"
"471","0","3","male",21,0,0,"S","No"
"472","0","3","male",38,0,0,"S","No"
"473","1","2","female",33,1,2,"S","No"
"474","1","2","female",23,0,0,"C","Si"
"475","0","3","female",22,0,0,"S","No"
"476","0","1","male",54,0,0,"S","Si"
"477","0","2","male",34,1,0,"S","No"
"478","0","3","male",29,1,0,"S","No"
"479","0","3","male",22,0,0,"S","No"
"480","1","3","female",2,0,1,"S","No"
"481","0","3","male",9,5,2,"S","No"
"482","0","2","male",32,0,0,"S","No"
"483","0","3","male",50,0,0,"S","No"
"484","1","3","female",63,0,0,"S","No"
"485","1","1","male",25,1,0,"C","Si"
"486","0","3","female",8,3,1,"S","No"
"487","1","1","female",35,1,0,"S","Si"
"488","0","1","male",58,0,0,"C","Si"
"489","0","3","male",30,0,0,"S","No"
"490","1","3","male",9,1,1,"S","No"
"491","0","3","male",25,1,0,"S","No"
"492","0","3","male",21,0,0,"S","No"
"493","0","1","male",55,0,0,"S","Si"
"494","0","1","male",71,0,0,"C","No"
"495","0","3","male",21,0,0,"S","No"
"496","0","3","male",30,0,0,"C","No"
"497","1","1","female",54,1,0,"C","Si"
"498","0","3","male",21,0,0,"S","No"
"499","0","1","female",25,1,2,"S","Si"
"500","0","3","male",24,0,0,"S","No"
"501","0","3","male",17,0,0,"S","No"
"502","0","3","female",21,0,0,"Q","No"
"503","0","3","female",30.5,0,0,"Q","No"
"504","0","3","female",37,0,0,"S","No"
"505","1","1","female",16,0,0,"S","Si"
"506","0","1","male",18,1,0,"C","Si"
"507","1","2","female",33,0,2,"S","No"
"508","1","1","male",34,0,0,"S","No"
"509","0","3","male",28,0,0,"S","No"
"510","1","3","male",26,0,0,"S","No"
"511","1","3","male",29,0,0,"Q","No"
"512","0","3","male",21,0,0,"S","No"
"513","1","1","male",36,0,0,"S","Si"
"514","1","1","female",54,1,0,"C","No"
"515","0","3","male",24,0,0,"S","No"
"516","0","1","male",47,0,0,"S","Si"
"517","1","2","female",34,0,0,"S","Si"
"518","0","3","male",40.5,0,0,"Q","No"
"519","1","2","female",36,1,0,"S","No"
"520","0","3","male",32,0,0,"S","No"
"521","1","1","female",30,0,0,"S","Si"
"522","0","3","male",22,0,0,"S","No"
"523","0","3","male",30,0,0,"C","No"
"524","1","1","female",44,0,1,"C","Si"
"525","0","3","male",30,0,0,"C","No"
"526","0","3","male",40.5,0,0,"Q","No"
"527","1","2","female",50,0,0,"S","No"
"528","0","1","male",54,0,0,"S","Si"
"529","0","3","male",39,0,0,"S","No"
"530","0","2","male",23,2,1,"S","No"
"531","1","2","female",2,1,1,"S","No"
"532","0","3","male",30,0,0,"C","No"
"533","0","3","male",17,1,1,"C","No"
"534","1","3","female",13,0,2,"C","No"
"535","0","3","female",30,0,0,"S","No"
"536","1","2","female",7,0,2,"S","No"
"537","0","1","male",45,0,0,"S","Si"
"538","1","1","female",30,0,0,"C","No"
"539","0","3","male",21,0,0,"S","No"
"540","1","1","female",22,0,2,"C","Si"
"541","1","1","female",36,0,2,"S","Si"
"542","0","3","female",9,4,2,"S","No"
"543","0","3","female",11,4,2,"S","No"
"544","1","2","male",32,1,0,"S","No"
"545","0","1","male",50,1,0,"C","Si"
"546","0","1","male",64,0,0,"S","No"
"547","1","2","female",19,1,0,"S","No"
"548","1","2","male",23,0,0,"C","No"
"549","0","3","male",33,1,1,"S","No"
"550","1","2","male",8,1,1,"S","No"
"551","1","1","male",17,0,2,"C","Si"
"552","0","2","male",27,0,0,"S","No"
"553","0","3","male",40.5,0,0,"Q","No"
"554","1","3","male",22,0,0,"C","No"
"555","1","3","female",22,0,0,"S","No"
"556","0","1","male",62,0,0,"S","No"
"557","1","1","female",48,1,0,"C","Si"
"558","0","1","male",40,0,0,"C","No"
"559","1","1","female",39,1,1,"S","Si"
"560","1","3","female",36,1,0,"S","No"
"561","0","3","male",40.5,0,0,"Q","No"
"562","0","3","male",40,0,0,"S","No"
"563","0","2","male",28,0,0,"S","No"
"564","0","3","male",21,0,0,"S","No"
"565","0","3","female",25,0,0,"S","No"
"566","0","3","male",24,2,0,"S","No"
"567","0","3","male",19,0,0,"S","No"
"568","0","3","female",29,0,4,"S","No"
"569","0","3","male",30,0,0,"C","No"
"570","1","3","male",32,0,0,"S","No"
"571","1","2","male",62,0,0,"S","No"
"572","1","1","female",53,2,0,"S","Si"
"573","1","1","male",36,0,0,"S","Si"
"574","1","3","female",16,0,0,"Q","No"
"575","0","3","male",16,0,0,"S","No"
"576","0","3","male",19,0,0,"S","No"
"577","1","2","female",34,0,0,"S","No"
"578","1","1","female",39,1,0,"S","Si"
"579","0","3","female",17,1,0,"C","No"
"580","1","3","male",32,0,0,"S","No"
"581","1","2","female",25,1,1,"S","No"
"582","1","1","female",39,1,1,"C","Si"
"583","0","2","male",54,0,0,"S","No"
"584","0","1","male",36,0,0,"C","Si"
"585","0","3","male",30,0,0,"C","No"
"586","1","1","female",18,0,2,"S","Si"
"587","0","2","male",47,0,0,"S","No"
"588","1","1","male",60,1,1,"C","Si"
"589","0","3","male",22,0,0,"S","No"
"590","0","3","male",21,0,0,"S","No"
"591","0","3","male",35,0,0,"S","No"
"592","1","1","female",52,1,0,"C","Si"
"593","0","3","male",47,0,0,"S","No"
"594","0","3","female",30.5,0,2,"Q","No"
"595","0","2","male",37,1,0,"S","No"
"596","0","3","male",36,1,1,"S","No"
"597","1","2","female",32,0,0,"S","No"
"598","0","3","male",49,0,0,"S","No"
"599","0","3","male",30,0,0,"C","No"
"600","1","1","male",49,1,0,"C","Si"
"601","1","2","female",24,2,1,"S","No"
"602","0","3","male",21,0,0,"S","No"
"603","0","1","male",60,0,0,"S","No"
"604","0","3","male",44,0,0,"S","No"
"605","1","1","male",35,0,0,"C","No"
"606","0","3","male",36,1,0,"S","No"
"607","0","3","male",30,0,0,"S","No"
"608","1","1","male",27,0,0,"S","No"
"609","1","2","female",22,1,2,"C","No"
"610","1","1","female",40,0,0,"S","Si"
"611","0","3","female",39,1,5,"S","No"
"612","0","3","male",21,0,0,"S","No"
"613","1","3","female",16,1,0,"Q","No"
"614","0","3","male",40.5,0,0,"Q","No"
"615","0","3","male",35,0,0,"S","No"
"616","1","2","female",24,1,2,"S","No"
"617","0","3","male",34,1,1,"S","No"
"618","0","3","female",26,1,0,"S","No"
"619","1","2","female",4,2,1,"S","Si"
"620","0","2","male",26,0,0,"S","No"
"621","0","3","male",27,1,0,"C","No"
"622","1","1","male",42,1,0,"S","Si"
"623","1","3","male",20,1,1,"C","No"
"624","0","3","male",21,0,0,"S","No"
"625","0","3","male",21,0,0,"S","No"
"626","0","1","male",61,0,0,"S","Si"
"627","0","2","male",57,0,0,"Q","No"
"628","1","1","female",21,0,0,"S","Si"
"629","0","3","male",26,0,0,"S","No"
"630","0","3","male",40.5,0,0,"Q","No"
"631","1","1","male",80,0,0,"S","Si"
"632","0","3","male",51,0,0,"S","No"
"633","1","1","male",32,0,0,"C","Si"
"634","0","1","male",60,0,0,"S","No"
"635","0","3","female",9,3,2,"S","No"
"636","1","2","female",28,0,0,"S","No"
"637","0","3","male",32,0,0,"S","No"
"638","0","2","male",31,1,1,"S","No"
"639","0","3","female",41,0,5,"S","No"
"640","0","3","male",25,1,0,"S","No"
"641","0","3","male",20,0,0,"S","No"
"642","1","1","female",24,0,0,"C","Si"
"643","0","3","female",2,3,2,"S","No"
"644","1","3","male",27,0,0,"S","No"
"645","1","3","female",0.75,2,1,"C","No"
"646","1","1","male",48,1,0,"C","Si"
"647","0","3","male",19,0,0,"S","No"
"648","1","1","male",56,0,0,"C","Si"
"649","0","3","male",21,0,0,"S","No"
